'icao24','timestamp','acars','adsb','built','categoryDescription','country','engines','firstFlightDate','firstSeen','icaoAircraftClass','lineNumber','manufacturerIcao','manufacturerName','model','modes','nextReg','notes','operator','operatorCallsign','operatorIata','operatorIcao','owner','prevReg','regUntil','registered','registration','selCal','serialNumber','status','typecode','vdl'
'008058','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Owenair P/l,'',,,ZS-ACT,'','20034','',CL30,0
'00865d','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 350,0,'','','','','','',Fireblade Investments Ltd,'',,,ZS-CKA,'','20626','',CL35,0
'00982e','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Challenger 350,0,'','','','','','',J-air P/l,'',,,ZS-JDL,'','20556','',CL35,0
'009969','2013-03-04 00:00:00',0,0,,'',South Africa,'',,,L2J,'',BOMBARDIER,Bombardier,BD-100-1A10 Challenger 300,0,'','',Walstrand Aviation Pty Ltd,'','','','','',,'2013-03-04',ZS-JPO,'','20383','',CL30,0
'009ad8','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,L2J,'',RAYTHEON,Bombardier,Global Express,0,'','',Fortune Air Pty Ltd,'','','',Fortune Air P/l,'',,'2015-07-01',ZS-KDR,DRHK,'9023','',GLEX,0
'00a513','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Global 6000,0,'','','','','','',Execujet Aviation P/l,'',,,ZS-OAK,'','9631','',GL6T,0
'00b290','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Global 6000,0,'','','','','','',Fireblade Investments Ltd,'',,,ZS-TDF,'','9603','',GL6T,0
'00b2f4','2017-09-15 00:10:07',0,0,,'',South Africa,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Rey Airlines Sa,'',,,ZS-THB,'','5528','',CL64,0
'015a4e','1970-01-01 01:00:00',0,0,,'',Egypt,'',,,L2J,'',RAYTHEON,Bombardier,BD-700-1A10 Global Express,0,'','','','','','','','',,,EC-LNM,'','9403','',GLEX,0
'01803c','2017-09-15 00:10:07',0,0,,'',Libyan Arab Jamahiriya,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',United Aviation,UNITED AVIATION,'',UVN,United Aviation,'',,,'5A-UAB','','9285','',GL5T,0
'01804e','2017-09-15 00:10:07',0,0,,'',Libyan Arab Jamahiriya,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',Corporate Airlink,CORPORATE,'',COO,Corporate,'',,,'5A-UAC','','9257','',GL5T,0
'0200a9','2017-09-15 00:10:07',0,0,,'',Morocco,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Mt Fly,'',,,CN-IAM,'','5591','',CL64,0
'020106','2017-09-15 00:10:07',0,0,,'',Morocco,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Ctta,'',,,CN-CTA,'','20405','',CL30,0
'02a00c','2017-09-15 00:10:07',0,0,,'',Tunisia,'',,,'','','',Bombardier,Challenger 604,0,'','',Fly International Airways,NOUVINTER,'',NVJ,Fly International Airways,'',,,TS-IAM,'','5412','',CL64,0
'030012','2017-09-15 00:10:07',0,0,,'',Botswana,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','',Republic Of Botswana,'','','',Botswana Defence Force,'',,'2009-09-01',OK1,'','9259','',GLEX,0
'03e00b','2017-09-15 00:10:07',0,0,,'',Gabon,'',,,'','','',Bombardier,Challenger 601 3A,0,'','','','','','',Air Affaires Gabon,'',,,TR-AAG,'','5071','',CL61,0
'06002d','2017-09-15 00:10:07',0,0,,'',Mauritius,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','','','','','',Osa Aviation,'',,,'3B-PGT','','9676','',GL5T,0
'06a037','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global Express,0,'','',Qatar Amiri Flight,AMIRI,'',QAF,Qatar Amiri Flight,'',,,A7-AAM,'','9126','',GLEX,0
'06a085','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,'','','',Bombardier,Challenger 605,0,'','','','','','',Qatar Executive,'',,,A7-CEA,'','5783','',CL65,0
'06a086','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,'','','',Bombardier,Challenger 605,0,'','','','','','',Qatar Executive,'',,,A7-CEB,'','5784','',CL65,0
'06a0d7','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',BOMBARDIER,Bombardier,BD-700-1A11 Global 5000,0,'','',Qatar Executive,'','',QQE,Qatar Executive,'',,'2013-11-01',A7-CED,'','9370','',GL5T,0
'06a0d8','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',Qatar Executive,'','',QQE,Qatar Executive,'',,'2013-11-01',A7-CEE,'','9421','',GL5T,0
'06a131','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Qatar Executive,'',,,A7-CEF,'','9294','',GLEX,0
'06a132','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,'','','',Bombardier,Challenger 605,0,'','','','','','',Qatar Executive,'',,,A7-CEG,'','5857','',CL65,0
'06a133','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','','','','','',Qatar Executive,'',,,A7-CEI,'','9581','',GL5T,0
'06a198','2016-03-24 19:41:54',0,0,,'',Qatar,'',,,L2J,'',BOMBARDIER,Bombardier,BD-700-1A11 Global 5000,0,'','',Qatar Executive,'','',QQE,Qatar Executive,'','2016-01-01','2013-11-01',A7-TAT,'','9379','',GL5T,0
'06a19b','2017-09-15 00:10:07',0,0,,'',Qatar,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Global 5000,0,'','','','','','',Qatar Executive,'',,,A7-CEV,'','9534','',GL5T,0
'06a1b5','2014-10-02 00:00:00',0,0,,'',Qatar,'',,,L2J,'',CANADAIR,Bombardier (canadair),CL-600-2B16 Challenger 604,0,'','',Qatar Executive,'','',QQE,'','','2016-01-01','2014-10-02',A7-MHA,'','5508','',CL60,0
'06a1f0','2017-07-22 16:21:04',0,0,,'',Qatar,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global 6000,0,'','',Qatar Executive,'','',QQE,Qatar Executive,'',,'2016-05-10',A7-TAA,'','9661','',GLEX,0
'08a081','2017-05-22 18:00:43',0,0,,'',Zambia,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','','','','','',Government Of Zambia,'',,,'9J-ONE','','5486','',CL60,0
'090088','2017-09-15 00:10:07',0,0,,'',Angola,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Government Of Angola,'',,,D2-ANG,'','9232','',GLEX,0
'0ac379','2017-09-15 00:10:07',0,0,,'',Colombia,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Sinesa,'',,,HK-5186,'','20441','',CL30,0
'0d014b','2016-10-24 16:15:55',0,0,,'',Mexico,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','','','','','',Aerovena,'',,,XA-EVG,'','5357','',CL60,0
'0d01c4','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Aerolineas Ejecutivas Sa,'',,,XA-SOL,'','5501','',CL64,0
'0d025b','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',RAYTHEON,Bombardier,Global Express,0,'','','','','','',Taxis Aereos Del Valle De Toluca,'',,,XA-AYL,'','9119','',GLEX,0
'0d02a7','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 601 3A,0,'','','','','','',Apoyo Logistico Aereo Sa,'',,,XA-GUA,'','5076','',CL61,0
'0d03d4','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 601 3A,0,'','','','','','',Ge Capital Cef Mexico Sa,'',,,XA-VDG,'','5004','',CL61,0
'0d0515','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Apoyo Logistico Aereo Sa,'',,'2009-07-01',XA-DLA,ELDK,'20203','',CL30,0
'0d0516','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',Transportacion Aerea Del Mar De Cortes,TRANS CORTES,'',MCT,Transportacion Aerea Del Mar De Cortes,'',,,XA-JGT,'','9379','',GL5T,0
'0d05eb','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Aero Salmon Sa De Cv,'',,,XA-CHC,'','20024','',CL30,0
'0d05f2','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 605,0,'','',Corporate Airlink,CORPORATE,'',COO,Corporate,'',,,XA-GRB,'','5829','',CL65,0
'0d06d5','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Servicios Aereos Regiomontanos Sa,'',,,XA-ARO,'','20200','',CL30,0
'0d06e0','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Grupo Maseca Sa,'',,,XA-NTG,'','20348','',CL30,0
'0d06eb','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Servicios Dinamicos De Aviacion,'',,,XA-JCG,'','5328','',CL64,0
'0d071c','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Tomazajet Sa De Cv,'',,,XA-EZI,'','20367','',CL30,0
'0d0753','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Grupo Aeronautico Ova,'',,,XA-OVA,'','20232','',CL30,0
'0d07a6','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Aerotaxi Villa Rica Sa De Cv,'',,,XA-RUA,'','20404','',CL30,0
'0d07bb','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Aerolineas Ejecutivas Sa,'',,,XA-JEP,'','5653','',CL64,0
'0d07ca','2017-10-01 08:19:25',0,0,,'',Mexico,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 601 3A,0,'','','','','','',Servicios Aereos Estrella Sa,'',,,XA-RYK,'','5122','',CL60,0
'0d07f1','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Imperial Aerotransporte,'',,,XA-VFV,'','20427','',CL30,0
'0d07fb','2017-06-06 18:05:43',0,0,,'',Mexico,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global 6000,0,'','','','','','',Corporacion Aero Angeles Sa,'',,,XA-OVR,'','9564','',GLEX,0
'0d0915','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',J & P Corporate Flights Sa De Cv,'',,,XA-GXG,'','20043','',CL30,0
'0d09da','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,'','','',Bombardier,Challenger 604,0,'','','','','','',Performance Air Sa De Cv,'',,,XA-ARK,'','5578','',CL64,0
'0d0e61','2017-09-15 00:10:07',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Rafael Torre,'',,,XA-BOM,'','20439','',CL30,0
'0d0ec7','2023-03-15 11:10:39',0,0,,'',Mexico,'',,,L2J,'',BOMBARDIER,Bombardier,BD-700-2A12 Global 7500,0,'','',Tv Azteca,'','','',Tv Azteca,'',,,XA-RBS,'','','',GL7T,0
'150690','2017-06-19 15:21:15',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','',Aviaservice,AVIASERVICE,'',BIV,Aviaservice,'',,,RA-67216,'','5567','',CL60,0
'150691','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','',Tulpar Air,URSAL,'',TUL,Tulpar Air,'',,,RA-67217,'','20173','',CL30,0
'150692','2017-07-09 21:13:22',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 850,0,'','','','','','',Mbk-s Air Company,'',,,RA-67218,'','8074','',CRJ2,0
'150693','2016-11-18 18:30:34',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 850,0,'','','',YAMAL,'',LLM,Yamal Airlines,'',,,RA-67219,'','8090','',CRJ2,0
'150694','2017-05-11 00:47:01',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 850,0,'','','','','','',Mbk-s Air Company,'',,,RA-67220,'','8091','',CRJ2,0
'150695','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','','',Jet Express Llc,'',,,RA-67221,'','20235','',CL30,0
'150697','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Challenger 300,0,'','',Severstal Air Company,'',D2,'',Severstal Air Company,'',,,RA-67223,'','20172','',CL30,0
'150698','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','','','','',RSJ,Rusjet,'',,,RA-67224,'','20065','',CL30,0
'150699','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Global 5000,0,'','',Tulpar Air,URSAL,'',TUL,Tulpar Air,'',,,RA-67225,'','9376','',GL5T,0
'15069b','2017-05-30 16:37:10',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 605,0,'','',Aviaservice,AVIASERVICE,'',BIV,Aviaservice,'',,,RA-67227,'','5803','',CL60,0
'15069c','2017-04-03 19:01:58',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','',Aviaservice,AVIASERVICE,'',BIV,Aviaservice,'',,,RA-67228,'','5613','',CL60,0
'1506a0','2017-07-26 00:20:04',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 850,0,'','',Aviaservice,AVIASERVICE,'',BIV,Aviaservice,'',,'2014-09-09',RA-67232,'','8099','',CRJ2,0
'1506a1','2017-06-19 13:23:59',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 850,0,'','',Tulpar Air,URSAL,'',TUL,Tulpar Avia Service,'',,'2012-05-01',RA-67233,'','8105','',CRJ2,0
'1506a6','2017-06-30 09:05:45',0,0,,'',Russian Federation,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 605,0,'','',Aviaservice,AVIASERVICE,'',BIV,Aviaservice,'',,,RA-67238,'','5924','',CL60,0
'1506a9','2017-07-13 07:43:27',0,0,,'',Russian Federation,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global 6000,0,'','',Tulpar Air,URSAL,'',TUL,Tulpar Air,'',,,RA-67241,'','9700','',GLEX,0
'1506aa','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Vip Jet,'',,,RA-67242,'','9406','',GLEX,0
'1506ab','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 350,0,'','',Tulpar Air,URSAL,'',TUL,Tulpar Air,'',,,RA-67243,'','20643','',CL35,0
'1506b2','2017-09-15 00:10:07',0,0,,'',Russian Federation,'',,,L2J,'',BOMBARDIER,Bombardier,Challenger 300,0,'','',Corporate Airlink,CORPORATE,'',COO,Corporate,'',,,RA-67250,'','20317','',CL30,0
'300619','2017-05-31 15:14:11',0,0,,'',Italy,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global 6000,0,'','','','','','',Albinati Aviation Ltd,'',,,I-PFLY,'','9625','',GLEX,0
'300696','2017-07-06 21:08:25',0,0,,'',Italy,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 650,0,'','','','','','',Sirio Fly Spa,'',,,I-DBLR,'','6071','',CL60,0
'342294','2017-09-15 00:10:07',0,0,,'',Spain,'',,,L2J,'',RAYTHEON,Bombardier,Global Express,0,'','','','','','',Mango Mng Bird Sa,'',,,EC-JIL,'','9146','',GLEX,0
'34251a','2017-06-23 18:18:48',0,0,,'',Spain,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','','','','','',Tag Aviation Spain Sl,'',,,EC-JYT,'','5648','',CL60,0
'343499','2017-09-15 00:10:07',0,0,,'',Spain,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Tag Aviation Spain Sl,'',,,EC-LEB,'','9303','',GLEX,0
'3435c5','2017-09-15 00:10:07',0,0,,'',Spain,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Gestair Executive Jet Sa,'',,,EC-MNH,'','9360','',GLEX,0
'3442c9','2017-06-13 16:00:20',0,0,,'',Spain,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global 6000,0,'','','','','','',Tag Aviation Spain Sl,'',,,EC-LTF,'','9464','',GLEX,0
'34510b','2017-09-15 00:10:07',0,0,,'',Spain,'',,,'','','',Bombardier,Global 6000,0,'','','','','','',Gestair Executive Jet Sa,'',,,EC-MKH,'','9695','',GL6T,0
'34520d','2017-09-15 00:10:07',0,0,,'',Spain,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Gestair Executive Jet Sa,'',,,EC-MMD,'','9428','',GLEX,0
'346603','2024-05-10 10:24:05',0,1,,,Spain,'',,,'','',BOMBARDIER,Bombardier,Global 5500,1,,'',Gestair,GES61C,'',GES,LaBotina,,,,EC-NOC,,'',,GLEX,0
'405ffd','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2010-03-24',G-IRAP,'','9309','',GLEX,0
'4061fb','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,'2010-01-26',G-SANL,'','9333','',GLEX,0
'40635c','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2016-11-25',G-OXRS,'','9351','',GLEX,0
'4063df','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,'2012-11-26',G-CGSJ,'','9377','',GLEX,0
'406422','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','','','','','',Emperor Aviation,'',,'2016-05-20',G-GABY,'','9364','',GLEX,0
'4066a5','2017-09-15 00:10:07',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global Express XRS,0,'','','','','','',Tag Aviation (uk) Ltd,'',,,G-RAAA,'','9423','',GLEX,0
'4066bb','2017-06-04 14:08:12',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 605,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2012-02-29',G-LTSK,'','5872','',CL60,0
'4067ed','2016-06-25 03:27:01',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global Express,0,'','','','','','',Finesse Executive Ltd,'',,,G-GLBX,'','9120','',GLEX,0
'406813','2016-10-09 17:27:24',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global Express,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,,G-SENT,'','9094','',GLEX,0
'406826','2017-07-01 09:45:01',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','',Zenith Aviation Ltd,'',,'2015-08-13',G-OPRM,'','5580','',CL60,0
'406862','2017-02-14 00:19:43',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,'2016-01-21',G-RCAV,'','5526','',CL60,0
'40689a','2017-02-27 23:20:38',0,0,,'',United Kingdom,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Challenger 300,0,'','',London Executive Aviation,LONEX,'',LNX,London Executive Aviation,'',,,G-LEAZ,'','20015','',CL30,0
'4068c0','2017-04-27 08:28:18',0,0,,'',United Kingdom,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 605,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,,G-LCDH,'','5904','',CL60,0
'4068ee','2017-04-05 10:48:12',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3A2<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (VARIANT 601-3A) Challenger,0,'','','','','','',Arena Aviation Ltd,'',,'2015-03-04',G-XRTV,'','5085','',CL60,0
'406983','1970-01-01 01:00:00',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','','','',,'2013-10-29',G-FABO,'','5487','',CL60,0
'406aec','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2013-12-19',G-GOYA,'','9016','',GLEX,0
'406c62','2016-12-08 11:36:25',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Bombardier Global Express,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,,G-RBEN,'','9083','',GLEX,0
'406ca9','2016-12-23 19:09:15',0,0,,'',United Kingdom,'',,,L2J,'',BOMBARDIER,Bombardier,Bombardier Challenger 350,0,'','','','','','',Newcastle Aviation Ltd,'',,,G-SCAR,'','20530','',CL35,0
'406db8','2017-01-27 21:40:46',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','',Jet Exchange,'',,'2016-02-17',G-HOTY,'','5443','',CL60,0
'40703e','2017-06-29 16:11:44',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2016-04-20',G-RNJP,'','5980','',CL60,0
'40703f','2017-06-29 16:07:00',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2016-04-20',G-RNFR,'','5983','',CL60,0
'4071a3','1970-01-01 01:00:00',0,0,,'',United Kingdom,'2 x GENERAL ELECTRIC CO CF34-3B<br>',,,L2J,'',CANADAIR,Bombardier Inc,CANADAIR CL600-2B16 (604 VARIANT) Challenger 604,0,'','','','','','','','',,'2017-03-08',G-MOCL,'','5620','',CL60,0
'40722a','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x HONEYWELL AS907-2-1A<br>',,,L2J,'',BOMBARDIER,Bombardier Inc,BD-100-1A10 Challenger 350,0,'','',London Executive Aviation,LONEX,'',LNX,London Executive Aviation,'',,'2016-12-23',G-CJOF,'','20650','',CL35,0
'407269','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global Express,0,'','','','','','',Execujet Uk Ltd,'',,'2017-02-24',G-GLOB,'','9413','',GLEX,0
'407292','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',BOMBARDIER,Bombardier Inc,BD-700-1A11 Global 5000,0,'','','','','','',Bookajet Operations Ltd,'',,'2017-01-06',G-KBMM,'','9186','',GL5T,0
'407343','2017-09-15 00:10:07',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',BOMBARDIER,Bombardier Inc,BD-700-1A11 Global 5000,0,'','','','','','',Tag Aviation (uk) Ltd,'',,'2017-06-28',G-SGSG,'','9780','',GL5T,0
'407414','2017-10-14 08:32:35',0,0,,'',United Kingdom,'2 x ROLLS-ROYCE BR700-710A2-20<br>',,,L2J,'',RAYTHEON,Bombardier Inc,BD-700-1A10 Global 6000,0,'','',Gama Aviation,GAMA,'',GMA,Gama Aviation,'',,'2017-09-19',G-SALD,'','9781','',GLEX,0
'42406c','2017-09-15 00:10:07',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','','','','','',Mva Aviation Ltd,'',,,VP-BVG,'','9193','',GLEX,0
'42410d','2017-06-15 14:26:58',0,0,,'',United Kingdom,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 604,0,'','','','','','',Tag Aviation Asia,'',,,VP-BJE,'','5605','',CL60,0
'424126','2017-09-15 00:10:07',0,0,,'',United Kingdom,'',,,L2J,'',RAYTHEON,Bombardier,Global Express XRS,0,'','',Jet Aviation Business Jets,BIZFLEET,'',BZF,Jet Aviation Business Jets Ag,'',,,VP-BJI,'','9276','',GLEX,0
'424135','2017-05-21 14:27:00',0,0,,'',United Kingdom,'',,,L2J,'',CANADAIR,Bombardier,Bombardier Challenger 605,0,'','','','','','',Nexus Flight Operations Services,'',,,VP-COO,'','5781','',CL60,0
